SKU,Tên Sản Phẩm,Danh Mục Sản Phẩm,Mô Tả,Catalogue URL,Hình url
,Máy Ép Phun Welltec SeIII,Máy Ép Phun Nhựa,"Bộ phận đài phun sử dụng thanh ray dẫn hướng
Điều chỉnh chiều cao khuôn bằng bánh răng 90-160 tấn
Phễu nhựa có thể kéo trượt cho máy 90-130 tấn
Kiểu tống lõi theo Châu Âu
Làm mát dầu được tích hợp
Tiết kiệm 30% năng lượng so với máy sử dụng bơm biến đổi
Hệ thống Servo giúp cho máy hoạt động ổn định
Hệ thống điều khiển B&R của Áo cho hiệu suất hoạt động cao                                                                                                                                                                                                                                                               ",Catalouge máy ép phun nhựa\SeIII 0311.pdf,SeIII
,Máy Ép Phun Welltec KII,Máy Ép Phun Nhựa,"Hệ thống kềm được thiết kế với độ cứng cao
Được xử lý để đãm bảo chịu mài mòn cao
Được tối ưu hóa cho khuôn có độ dày khác nhau
Hệ thống đài phun sử dụng thanh ray dẫn hướng nhằm giảm độ hao mòn
Hệ thống servo thủy lực hoạt động ổn định
Thất thoát về năng lượng được làm giảm bởi thiết kế mới của hệ thống thủy lực
Tiếng ồn khi hoạt động thấp",Catalouge máy ép phun nhựa\KII catalogue.pdf,KII
,Máy Ép Phun Nhựa Welltec JSeII Small & Medium,Máy Ép Phun Nhựa,"Hệ thống hỗ trợ thớt kềm được di chuyển rộng hơn
Được thiết kế theo dạng mô-đun
Không thiết kệ theo dạng trục khủy
Thiết kế giảm thiểu độ ma sát
Lực ép được phân bố đồng đều
Hệ thống đài phun được tối ưu hóa
Hệ thống điều khiển tối ưu hóa, kiểm soát độ chỉnh xác cao
Hệ thống thủy lực hiệu suất cao
Tích hợp giao diện điều khiển từ xa iSee 4.0",Catalouge máy ép phun nhựa\Welltec 450-900JSeII - English.pdf,JSeII nhỏ
,Máy Ép Phun Nhựa Welltec JSeII Large,Máy Ép Phun Nhựa,"Hệ thống kềm được tối ưu hóa
Tiết kiệm năng lượng trung bình hơn 50%
Giảm thiệu chênh lệch trọng lượng sản phẩm nhỏ hơn 0.3%
Thiết kế theo dạng mô-đun cho phép tối ưu giữa hệ thống kềm và hệ thống đài phun
Hệ thống đài phun sử dụng xylanh đôi giúp cho việc di chuyển được trơn tru hơn
Trọng lượng phun chính xác cao
Sử dụng thanh ray dẫn hướng cho độ bền cực cao
",Catalouge máy ép phun nhựa\Welltec 1000-4000JSeII - English.pdf,JSeII lớn
,Máy Ép Phun Nhựa Tốc Độ Cao Welltec Sec,Máy Ép Phun Nhựa,"Hệ thống kềm có độ cứng cao cùng với thanh ray dẫn hướng kết hợp với van tỷ lệ phù hợp cho tốc độ cao
Hệ thống đài thiết kế với xylanh đơn tránh tình trạng bị trục vít bị hư hỏng
Các trục khủy được thiết kế tối ưu hóa cho việc hoạt động với tốc độ cao, giảm lực nén lên các trục khủy tránh bị gãy trục
Mặt kềm được thiết kế phân bố lực kẹp hợp lý giảm tình trạng sản phẩm bị bavia và tối ưu hóa lực kẹp khuôn",Catalouge máy ép phun nhựa\SEc 2020 - Welltec.pdf,SEc
,Máy Ép Phun Nhựa Welltec PVC SeIII / KII,Máy Ép Phun Nhựa,"Tiết kiệm năng lượng ít nhất 30% so với hệ thống bơm biến thiên truyền thống
Động cơ servo hoạt động mượt mà ngay cả khi ở tốc độ thấp
Sản phẩm có độ đồng đều cao do sử dụng hệ thống phun khép kín
Hiệu suất vượt trội, ổn định trong điều kiện áp suất thấp và lưu lượng thấp nhờ sự hỗ trợ của hệ thống Servo
Trục vít được thiết kế chống ăn mòn phù hợp với nguyên liệu PVC
Khung bảo vệ lớn ở khu vực ép phù hợp với nhiều loại sản phẩm PVC",Catalouge máy ép phun nhựa\Special PVC machine-brochure.pdf,PVC
,Máy Ép Phun Nhựa Welltec Pet,Máy Ép Phun Nhựa,"Trục vít được thiết kế tối ưu cho hiệu suất cao
Hệ thống kềm được thiết kế với công nghệ tiên tiến
Khả năng nhựa hóa hiệu quả
Hệ thống đài phun sử dụng thanh ray dẫn tuyến tính
Hệ thống thủy lực với momen xoắn lớn
Thiết kế hệ thống tống lõi mạnh mẽ
Tiết kiệm năng lượng
",Catalouge máy ép phun nhựa\PETIIIs-616.pdf,PET III
,Máy In Lụa Phẳng Printso PS-400F,Máy In Trên Nhựa,"Hành Trình: 400mm
Diện tích in tối đa: 380x200mm
Tốc độ tối đa: 12000pcs/1 giờ
Áp suất khí nén: 4 - 6 bar
Nguồn: 220V 50/60Hz
Kích thước máy : 640 x 465 x 1520 mm",,Máy in 400F
,Máy In Lụa Tự Động 1 màu Printso PZD - 102-B,Máy In Trên Nhựa,"Tốc độ in : chai tròn 4000pcs/ giờ, chai oval 5000pcs/ giờ
Kích thước in: chai tròn đường kính 20-100mm, dài 25-300mm; chai oval đường kính 25-120mm, dài 20-300mm
Áp lực khí nén: 0.5MPa
LGP: 0.15 Mpa
Kich thước máy: 1908 x 1000 x 1500mm
Nguốn: 380VAC, 3-Phase, 50Hz
Nguồn máy sử dụng UV: 5 kW
Công suất motor: 1.5kW",,Máy in tự động 1 màu PZD 102-B
,Máy In Lụa Tự Động Nhiều Màu PZD -102A,Máy In Trên Nhựa,"Tốc độ in: chai tròn 4000pcs/ giờ, chai oval 5000pcs/ giờ
Kích thước in: chai tròn đường kính 20-100mm, chiều dài 25-300mm; chai oval đường kính 25-120mm, chiều dài 20-300mm
Áp lực khí nén: 0.6MPa
LPG: 0.15 Mpa
Kích thước máy: 1908 x 1000 x 1500mm
Nguồn: 380VAC, 3-Phase, 50Hz
Nguồn máy sử dụng UV: 5kW cho mỗi modun màu
Công suất motor: 1.5kW cho mỗi modun màu",,Máy in tự động nhiều màu PZD 102A
,Máy In Lụa Phẳng Tròn/Phẳng PSY-300M,Máy In Trên Nhựa,"Kích thước in tối đa cho sản phẩm tròn: Đường kính 120 x Cao 200mm
Kích thước in tối đa cho sản phẩm phẳng: 170 x 300mm
Hành trình in tối đa: 3650mm
Tốc độ in tối đa:18pcs/ phút
Kích thước khung in lớn nhất: 230 x 480mm
Kích thước bàn in: 200 x 355mm
Áp suất khí nén: 0.5-0.65 MPa/cm2
Tiêu hao khi nén: 6lít/phút
Nguồn: 220V 1Phase  15W
Kích thước máy: 820 x 700 x 1450mm
Trọng lượng: 102kg",,"Máy in lụa tự động tròn,phẳng PSY-300M"
,Máy In Tampon 1 Màu PP-401 ,Máy In Trên Nhựa,"Sử dụng khay mực
Hành trình ngang: 125mm
Kich thước bản thép: 100 x 200mm
Tốc độ tối đa: 2200pcs / giờ
Tiêu hao khí nén: 4- 6 bar
Kích thước máy: 660 x 450 x 1210mm ",,Máy in tampon 1 màu PP-401
,Máy In Tampon 1 Màu PP-401-CP ,Máy In Trên Nhựa,"Sử dụng cốc mực
Hành trình ngang: 125mm
Kích thước cốc mực: đường kính 90mm
Kích thước bản thép: 100 x 210mm
Tốc độ tối đa: 2200 pcs / giờ
Nguồn: 220v 50/60Hz
Tiêu hao khí nén: 4 - 6 bar
Kích thước máy: 660 x 450 x 1210mm",,Máy in tampon 1 màu PP-401-CP
,Máy In Tampon 2 Màu PP-402S,Máy In Trên Nhựa,"Sử dụng khay mực
Hành trình ngang: 124mm
Kích thước bản thép: 100 x 100mm
Tốc độ tối đa: 1600pcs / giờ
Nguồn: 220V 50/60Hz
Tiêu hao khí nén: 4 - 6 bar
Kích thước máy: ",,Máy in tampon 2 màu PP-402S
,Máy In Tampon 2 Màu PP-402S-CP,Máy In Trên Nhựa,"Sử dụng cốc mực
Hành trình ngang: 124mm
Kích thước cốc mực: đường kính 90mm
Kích thước bản thép: 100 x 210mm
Tốc độ tối đa: 1600 pcs / giờ
Nguồn: 220v 50/60Hz
Tiêu hao khí nén: 4 - 6 bar
Kích thước máy: 660 x 630 x 1210mm",,Máy in tampon 2 màu PP-402S-CP
,Máy In Tampon 4 màu PP-604S,Máy In Trên Nhựa,"Sử dụng khay mực
Hành trình ngang: 158mm
Kích thước bản thép: 150 x 100mm
Tốc độ tối đa: 500pcs / giờ
Nguồn: 220v 50/60Hz
Tiêu hao khí nén: 4 - 6 bar
Kích thước máy: 750 x 690 x 1460mm
Trọng lượng máy: 135kg",,Máy in tampon 4 màu PP-604S
,Máy In Tampon 4 màu PP-604S-CP,Máy In Trên Nhựa,"Sử dụng cốc mực
Hành trình ngang: 150 x 100mm
Kích thước cốc mực: đường kính 90mm
Tốc độ tối đa: 500pcs  / giờ
Nguồn: 220v 50/60Hz
Tiêu hao khí nén: 4 - 6 bar
Kich thước máy: 750 x 690 x 1460mm",,Máy in tampon 4 màu PP-604S-CP
,Máy Chuyển Nhiệt HAS-4,Máy In Trên Nhựa,"Kích thước tấm nhiệt: 220 x 140mm
Hành trình: 60 mm
Chiều cao tối đa: 310mm
Kích thước bàn in: 380 x 280mm
Áp suất tối đa: 1000
Tỉ lệ diện tích chuyển nhiệt: 10-16%
Hành trình bàn in: 160mm
Thiết bị cuộn giấy chuyển nhiệt: 0-300mm
Nhiệt độ: 0-400 độ
Công suất gia nhiệt: 1000kW
Nguốn: 110V/220V  +-10%
Khí nén: 5 - 7 bar
Tiêu hao khí nén: 0.53L lít/ chu kỳ
Kích thước máy: 102 x 62 x 172mm
Trọng lượng máy: 208kg",,Máy chuyển nhiệt phẳng HSA4
,Máy Chuyển Nhiệt HAS-4E-S300,Máy In Trên Nhựa,"Kích thước tấm nhiệt: 320 x 315mm
Hành trình: 60 mm
Chiều cao tối đa: 200mm
Đường kính dạng tròn: 85mm
Kích thước bàn in: 260 x 150mm
Áp suất tối đa: 1000
Tỉ lệ diện tích chuyển nhiệt: 9-13%
Hành trình bàn in: 300mm
Thiết bị cuộn giấy chuyển nhiệt: 0-300mm
Nhiệt độ: 0-400 độ
Công suất gia nhiệt: 1200kW
Nguốn: 110V/220V  +-10%
Khí nén: 5 - 7 bar
Tiêu hao khí nén: 0.74L lít/ chu kỳ
Kích thước máy: 102 x 62 x 172mm
Trọng lượng máy: 215kg",,Máy chuyển nhiệt phẳng và tròn HSA 4E-S300
,Máy Xử Lý Bề Mặt,Máy In Trên Nhựa,"Đầu xử lý: bao gồm 4 đầu, chiều dài: 600mm x 4
Diện tích xử lý: cao 500mm
Đường kính sản phẩm: 100 - 400mm, cao tối đa: 500mm
Tốc độ quay của gá sản phẩm: 3 vòng sau khi đi qua hết tất cả đầu xử lý
Nhiên liệu: Gas hoặc LPG
Áp lực khí nén: 4 PSI
Băng tải: Motor AC
Công suất motor: 500W
Kich thước băng tải: 2440 x 600mm
Điều khiển tốc độ: loại AC, điều chỉnh tốc độ 0-10 mét / phút
Kết cấu: nhôm
Nguốn: 650W, 220V 50/60Hz
Kích thước máy: 2250 x 800 x 1200mm",,Máy Xử Lý Bề Mặt
,Máy Sấy UV Tròn/Phẳng UV-150M,Máy In Trên Nhựa,"Chiều cao sản phẩm tối da: 300mm
Chiều rộng bề mặt xử lý: 25-250mm
Đường kính sản phẩm: 10-150mm
Tốc độ xử lý: 1500-3000 pcs / giờ
Nguồn: 380V 50Hz +-10%
Công suất máy: 5kW
Chiều rộng của bản làm việc phẳng: 450mm
Chiều dài của bàn ",,Máy Sấy UV tròn và phẳng
