Product Name,Product Des,Price,Version,Update Date,Developer,Tag,Product Cate,demo url,dev url
"Easypay - Finance App UI Kits
","Easypay is a Premium and Quality Financial App UI Kit. With over 100+ screens carefully designed and perfected by our team and easy to use in Figma including dark & light themed designs.

We design to make it easy for you to customize according to your ideas and creativity. Helping you take control and build the best, most quality apps.",5,,,Uiux Glow,Finance,UI > Mobile,,
Laksita - Travel Apps UI KIT,"Laksita - Travel Apps UI KIT. We designed a highly detailed apps screen and certainly clean, so you can use it in your project

What will you get?
- 75+ Screens
- Vector-Based
- Well organize layer
- Free use google font


Compatibility
- Sketch
- Figma
- Invision Studio
- Adobe XD



100% vector editable and scalable. The color is easy to change. Each illustration is organized, named & very easy to use.",5,,,Vektora Studio,Travel,UI > Mobile,,
Joby - Job Finder Apps UI KIT,"Joby - Job Finder Apps UI KIT. We designed a highly detailed apps screen and certainly clean, so you can use it in your project

What will you get?
- 70+ Screens
- Vector-Based
- Well organize layer
- Free use google font


Compatibility
- Sketch
- Figma
- Invision Studio
- Adobe XD



100% vector editable and scalable. The color is easy to change. Each illustration is organized, named & very easy to use.",5,,,Vektora Studio,Job,UI > Mobile,,
EdTech - Online Learning Startup Web UI Kit,"EdTech Online Learning Startup UI Kit will help your online courses App products or services. Came with clean and professional style, you can easily edit and customize all elements with a design component that can speed up your design process.

Suitable for

- Online Courses App
- Education App
- School App
- Technology Challenge App
- Technology Event App
- And many more

Perfect match for Landing Page and Dashboard. This set will be very useful for Designers, Developers, Startups, and Design Agencies to speed up the design process.

What will you get?

- 40+ Dekstop Screens
- Design Components
- Style Guidelines
- Organized Layer & Artboard

Compatibility

- Figma

100% editable and customizable. The design elements and components are easy to change. Each page is organized, named & very easy to use.",5,,,DhuhaCreative,elearning,UI > Desktop,,
Finwallet - Finance Mobile App UI Kit,"Finwallet is Finance Mobile App UI Kit with clean, neat and modern design. Finwallet UI Kit contains 65+ high-quality screens with 35+ light mode and 35+ dark mode.

Finwallet UI Kit is suitable and easy to fully customize to fits your needs. Finwallet UI Kit gives you well layered and organized design, pixel perfect design, free amazing font, and supporting components to make it easier.",5,,,Hello Picko,Finance,UI > Mobile,,
Invester - Stock Investment App UI Kit,"Invester is a premium Stock Investment App UI Kit containing 55+ high-quality screens and easy to use in Figma.

Invester is suitable to customize for a kind app Stock, Investment, Finance, and related projects. This UI Kit is usable for other product design as well.

Invester is a fully customize with various scenarios, including Onboarding, Authentication, ID verification, Stock, List of Stock, Transaction, Portfolio Stock, Profile, and much more.

Invester is included to all Figma features, including global style guide, dynamic components, auto layout and variants.",5,,,Pixlayer Design,"stock, finance",UI > Mobile,,
Parken - Parking Apps UI KIT,"Parken - Parking Apps UI KIT. We designed a highly detailed apps screen and certainly clean, so you can use it in your project

What will you get?
- 40+ Screens
- Vector-Based
- Well organize layer
- Free use google font


Compatibility
- Sketch
- Figma
- Invision Studio
- Adobe XD



100% vector editable and scalable. The color is easy to change. Each illustration is organized, named & very easy to use.",5,,,Vektora Studio,parking,UI > Mobile,,
"Coinstar - Finance Mobile App UI Kit
","Coinstar is a Fintech App iOS UI Kit with more than 100 high-quality design screens. This kit includes not only basic design system elements but the whole app flow which will help you create your own financial app quickly and with no stress.

What will you get:
- Full design system
- Flows not only screens
- Custom illustrations
- Icon library included
- Prototypes
- Custom avatar set
- Pixel Perfect design",5,,,kitflow,Finance,UI > Mobile,,
WORKA - Work Out App UI Kits,"Worka has more than 40+ high quality pack designed screens for daily fitness and health tracking app. Which is great because it streamlines the process of locating the most suitable fitness/workout lesson on your app. All of the components and screens are fully responsive, allowing you to easily adjust them to the size of your screen, and they are also well documented.

What will you get :
✅ 40+ Variant Design
✅ Light and Dark Theme
✅ Modern and minimalist style
✅ Neatly & Organized Layer
✅ Reusable UI components
✅ Global Style Guide
✅ Free google font use",5,,,Enver Studio,"workout, exercice",UI > Mobile,,
Crypee - Crypto Wallet Mobile Apps UI Kit,"Crypee is Crypto Wallet Mobile Apps UI Kit with clean dan modern style which contains 30+ high-quality screens. Available in light mode and easy to use in Figma.

Crypee UI Kit is suitable and easy to fully customize to fits your needs. Crypee UI kit gives you well layered and organized design, pixel perfect design, free amazing font, and supporting organized components to make it easier.",5,,,Hello Picko,"crypto, finance",UI > Mobile,,
OneSpace - Parking Apps UI Kits,"OneSpace a Minimaslist design UI Kits for Parking App with 45+ screens.

has been equipped with grouping and naming for each group so that you can edit it more easily and have a light and dark theme.

with this UI Kit it will make it easier and faster to work on your personal project.

What will you get :
✔️ 45+ Premium screens
✔️ Dark and Light Theme
✔️ Full customizable
✔️ Modern and minimalist style
✔️ Neatly & Organized Layer
✔️ Global style guide",5,,,Lunar Studio,parking,UI > Mobile,,
rest. - Event Mobile App,"Rest is an event mobile app that will provide events near you. Rest is designed using a simple, clean, and minimalist style with a 68+ Premium screen and is available in dark mode too.

What you will get in this UI Kit :
- 100% Fully Customizable
- Free Google Font (Poppins)
- Well Organized Layer
- Component Library",5,,,Risen,"event, ticket",UI > Mobile,,
